lat,lon,altitude
42.2159,9.3755,483.4
42.2146,9.4057,290.3
42.2133,9.4359,189.2
42.212,9.4662,94.4
42.2106,9.4964,44.4
42.2093,9.5266,14.4
42.2657,8.6812,21.8
42.2646,8.7115,283.3
42.2635,8.7418,609.4
42.2624,8.772,573.1
42.2613,8.8023,791.5
42.2601,8.8326,1102.8
42.259,8.8629,1285.6
42.2579,8.8931,1385.9
42.2567,8.9234,1652.9
42.2555,8.9537,1840.2
42.2543,8.9839,1789.2
42.2532,9.0142,1703.1
42.252,9.0444,1661.1
42.2508,9.0747,1206.6
42.2496,9.105,1480.8
42.2483,9.1352,1741.1
42.2471,9.1655,915.0
42.2459,9.1957,486.7
42.2446,9.226,333.2
42.2434,9.2562,396.4
42.2421,9.2865,513.8
42.2408,9.3167,783.1
42.2396,9.347,553.6
42.2383,9.3772,399.8
42.237,9.4075,399.9
42.2357,9.4377,256.0
42.2343,9.4679,121.3
42.233,9.4982,68.8
42.2317,9.5284,20.1
42.3336,2.4934,1000.8
42.3342,2.5238,1162.5
42.2881,8.6827,56.1
42.287,8.713,359.0
42.2859,8.7433,753.7
42.2848,8.7736,891.7
42.2837,8.8038,1208.7
42.2825,8.8341,1446.9
42.2814,8.8644,1376.3
42.2803,8.8947,1336.2
42.2791,8.925,1214.4
42.2779,8.9552,1536.7
42.2767,8.9855,1837.6
42.2756,9.0158,1515.0
42.2744,9.0461,1583.4
42.2732,9.0763,1353.7
42.2719,9.1066,925.0
42.2707,9.1369,1242.5
42.2695,9.1671,738.3
42.2683,9.1974,440.2
42.267,9.2277,360.3
42.2658,9.2579,513.2
42.2645,9.2882,687.3
42.2632,9.3184,821.9
42.2619,9.3487,651.5
42.2607,9.379,539.4
42.2594,9.4092,370.1
42.2581,9.4395,705.5
42.2567,9.4697,351.2
42.2554,9.5,87.9
42.2541,9.5302,32.4
42.3554,2.4622,1317.3
42.356,2.4926,1103.4
42.3567,2.5229,932.4
42.3573,2.5533,1128.8
42.3579,2.5836,1027.3
42.3586,2.6139,824.4
42.3592,2.6443,785.7
42.3116,8.6539,136.8
42.3105,8.6842,216.5
42.3094,8.7145,227.8
42.3083,8.7448,498.1
42.3072,8.7751,986.4
42.3061,8.8054,1040.1
42.305,8.8357,1338.1
42.3038,8.866,1690.1
42.3027,8.8962,1327.9
42.3015,8.9265,1097.0
42.3003,8.9568,1102.7
42.2991,8.9871,1304.6
42.298,9.0174,1430.9
42.2968,9.0477,1364.5
42.2956,9.078,1191.1
42.2943,9.1082,881.6
42.2931,9.1385,647.2
42.2919,9.1688,447.6
42.2907,9.1991,348.4
42.2894,9.2293,379.4
42.2882,9.2596,484.4
42.2869,9.2899,710.3
42.2856,9.3202,986.9
42.2843,9.3504,799.0
42.283,9.3807,663.5
42.2818,9.411,616.3
42.2804,9.4412,666.4
42.2791,9.4715,452.2
42.2778,9.5018,111.0
42.2765,9.532,31.7
42.3661,1.9757,1793.6
42.3669,2.0061,1974.1
42.3677,2.0364,2054.7
42.3685,2.0668,2332.4
42.3771,2.431,1504.9
42.3778,2.4613,1275.8
42.3784,2.4917,1128.4
42.3791,2.522,876.3
42.3797,2.5524,899.3
42.3804,2.5828,898.7
42.381,2.6131,749.2
42.3816,2.6435,921.8
42.334,8.6554,372.5
42.3329,8.6857,467.1
42.3318,8.716,477.0
42.3307,8.7463,961.6
42.3296,8.7766,1114.5
42.3285,8.8069,977.8
42.3274,8.8372,1239.7
42.3262,8.8675,1846.7
42.3251,8.8978,1676.7
42.3239,8.9281,1291.4
42.3227,8.9584,1001.0
42.3215,8.9887,882.6
42.3204,9.019,932.3
42.3192,9.0493,1391.8
42.318,9.0796,1578.1
42.3167,9.1099,1261.4
42.3155,9.1402,637.2
42.3143,9.1705,445.3
42.3131,9.2008,545.8
42.3118,9.231,719.7
42.3106,9.2613,663.7
42.3093,9.2916,704.2
42.308,9.3219,1018.9
42.3067,9.3522,1087.0
42.3054,9.3825,1016.9
42.3041,9.4127,743.5
42.3028,9.443,424.5
42.3015,9.4733,303.3
42.3002,9.5036,108.7
42.2989,9.5338,27.8
42.3885,1.9747,1563.3
42.3893,2.005,1631.5
42.3901,2.0354,1763.1
42.3909,2.0657,2123.5
42.3917,2.0961,2385.1
42.3982,2.3693,1565.7
42.3989,2.3997,1399.7
42.3996,2.4301,1332.4
42.4002,2.4604,1013.4
42.4009,2.4908,858.0
42.4015,2.5212,838.0
42.4022,2.5515,624.4
42.4028,2.5819,695.2
42.4034,2.6123,708.0
42.404,2.6426,919.6
42.4046,2.673,933.8
42.3597,8.5659,154.9
42.3586,8.5962,245.6
42.3575,8.6265,199.4
42.3564,8.6568,362.3
42.3554,8.6872,665.7
42.3543,8.7175,707.5
42.3531,8.7478,762.9
42.352,8.7781,852.0
42.3509,8.8084,466.7
42.3498,8.8388,1062.1
42.3486,8.8691,1745.3
42.3475,8.8994,1636.7
42.3463,8.9297,1627.4
42.3451,8.96,1430.2
42.3439,8.9903,1156.0
42.3428,9.0206,888.9
42.3416,9.0509,865.4
42.3404,9.0812,1417.2
42.3391,9.1115,1454.2
42.3379,9.1418,735.9
42.3367,9.1721,559.0
42.3355,9.2024,753.2
42.3342,9.2327,923.0
42.3329,9.263,1146.7
42.3317,9.2933,949.8
42.3304,9.3236,1237.9
42.3291,9.3539,1433.4
42.3278,9.3842,786.0
42.3265,9.4145,605.3
42.3252,9.4448,625.4
42.3239,9.4751,563.6
42.3226,9.5054,142.3
42.3213,9.5356,27.9
42.411,1.9736,1251.3
42.4118,2.0039,1481.4
42.4125,2.0343,1870.0
42.4133,2.0647,1916.7
42.4141,2.0951,2136.7
42.4148,2.1254,2462.7
42.4156,2.1558,2482.3
42.4163,2.1862,2581.9
42.4192,2.3077,2229.2
42.4199,2.338,2238.7
42.4206,2.3684,1741.8
42.4213,2.3988,1519.4
42.422,2.4292,1208.2
42.4226,2.4595,1184.6
42.4233,2.4899,1085.1
42.4239,2.5203,928.7
42.4246,2.5507,806.1
42.4252,2.5811,538.5
42.4258,2.6114,738.5
